"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HTDD","MNPN","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG","COUNTY"
"USC00454679","LIND 3 NE, WA US",2000-12-01,NA,387,0,8,2,19,6,0,31,17,0,0,7,6,3,0.11,40,NA,2994,1199,NA,NA,0.55,NA,8.9,26.3,31.2,21.5,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-01-01,NA,0,0,8,2,31,2,0,31,11,0,0,14,4,2,0.19,45,NA,4104,1109,NA,NA,0.43,NA,4,29.2,33.8,24.7,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-02-01,NA,0,0,5,1,9,2,0,25,3,0,0,17,3,3,0.22,49,NA,5003,899,NA,NA,0.3,NA,4.5,32.9,39.6,26.1,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-03-01,NA,0,0,9,6,0,0,0,18,0,1,0,25,0,0,0.38,73,NA,5672,669,NA,NA,1.39,NA,0,42.8,54.5,31.2,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-04-01,NA,2,2,8,4,0,0,0,12,0,5,0,27,0,0,0.35,79,5.62,6193,521,43,66,1.17,NA,0,46.5,58,34.9,NA,NA,NA,NA,2372.4,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-05-01,NA,51,49,4,1,0,0,0,3,0,22,3,26,0,0,0.18,96,9.44,6438,245,49,78,0.3,NA,0,58.6,76.1,41.1,NA,NA,NA,NA,2799.3,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-06-01,NA,79,28,7,3,0,0,0,0,0,24,2,34,0,0,0.31,91,9.05,6602,164,53,78,0.78,NA,0,60.2,76,44.4,NA,NA,NA,NA,2604.8,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-07-01,NA,245,167,1,0,0,0,0,0,0,30,9,44,0,0,0.06,99,11.98,19,19,59,85,0.06,NA,0,69.8,86.8,52.7,NA,NA,NA,NA,2109.6,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-08-01,NA,481,235,2,1,0,0,0,0,0,29,15,44,0,0,0.47,102,11.5,33,13,59,86,0.48,NA,0,72.6,89.6,55.6,NA,NA,NA,NA,1780.2,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-09-01,NA,548,68,1,0,0,0,0,0,0,27,5,37,0,0,0.09,93,8.5,126,93,52,77,0.09,NA,0,64.1,81.2,47.1,NA,NA,NA,NA,1757.9,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-10-01,NA,548,0,9,2,0,0,0,9,0,4,0,26,0,0,0.35,78,NA,620,494,NA,NA,0.94,NA,0,48.6,61.1,36.1,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-11-01,NA,548,0,16,7,3,1,0,15,0,0,0,23,5,5,0.64,59,NA,1269,649,NA,NA,2.08,NA,5,41.6,49.5,33.7,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2001-12-01,NA,548,0,12,7,8,3,0,27,7,0,0,16,2,2.4,0.35,49,NA,2249,980,NA,NA,1.57,NA,7.4,32.4,38,26.8,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-01-01,NA,0,0,9,3,NA,0,0,26,0,0,0,19,NA,0,0.15,54,NA,3163,914,NA,NA,0.58,NA,0,34.6,40.4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-02-01,NA,0,0,6,1,0,0,0,21,0,0,0,17,0,0,0.29,55,NA,3928,765,NA,NA,0.51,NA,0,36.7,45.6,27.7,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-03-01,NA,0,0,6,1,2,2,0,23,0,0,0,17,1,1.5,0.1,64,NA,4720,791,NA,NA,0.29,NA,2.5,38.6,48.9,28.3,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-04-01,NA,0,0,6,1,0,0,0,12,0,2,0,19,0,0,0.25,73,5.85,5227,507,NA,63,0.37,NA,0,48.1,61.8,34.4,NA,NA,NA,NA,2722.2,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-05-01,NA,2,2,9,3,0,0,0,6,0,17,0,20,0,0,0.38,80,8.96,5523,297,48,73,0.89,NA,0,54.5,68.8,40.1,NA,NA,NA,NA,2709.2,NA,NA,NA,"Adams County"
